ID	Name	Genes	Length
90	GO:0000377 RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	orf19.1548;orf19.4374;orf19.4748;orf19.910;orf19.763;orf19.514;orf19.329;orf19.7375;orf19.1876;orf19.6356;orf19.6458.1;orf19.2400;orf19.3178;orf19.4659;orf19.672;orf19.7139;orf19.5391;orf19.1281;orf19.5885;orf19.2112;orf19.1260;orf19.4146;orf19.674;orf19.1045;orf19.444;orf19.7673;orf19.6740;orf19.2105;orf19.1491;orf19.5828;orf19.7265;orf19.6360;orf19.53;orf19.6831;orf19.6135.1;orf19.7620;orf19.5364;orf19.6866;orf19.387;orf19.2675;orf19.4875;orf19.4062;orf19.144;orf19.3945;orf19.3506;orf19.3774.1;orf19.3947;orf19.2230;orf19.2639.1;orf19.4964;orf19.1771;orf19.7256;orf19.4326;orf19.7509.2;orf19.4739;orf19.7581;orf19.1975;orf19.4305.1;orf19.2261;orf19.5413;orf19.4855;orf19.6271;orf19.4205.1;orf19.5647;orf19.3666;orf19.5492;orf19.7238;orf19.3250;orf19.5541;orf19.4799	70
91	GO:0000378 RNA exon ligation	orf19.2818	1
92	GO:0000379 tRNA-type intron splice site recognition and cleavage	orf19.4464;orf19.2735;orf19.6879;orf19.7361	4
93	GO:0000387 spliceosomal snRNP assembly	orf19.2563;orf19.1296;orf19.910;orf19.4146;orf19.144;orf19.6442	6
94	GO:0000388 spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	orf19.3098;orf19.144;orf19.2303	3
95	GO:0000389 mRNA 3'-splice site recognition	orf19.6347;orf19.6685;orf19.6442	3
96	GO:0000390 spliceosomal complex disassembly	orf19.3052;orf19.7392;orf19.3785;orf19.1687;orf19.4033;orf19.2980	6
97	GO:0000393 spliceosomal conformational changes to generate catalytic conformation	orf19.7343	1
98	GO:0000394 RNA splicing, via endonucleolytic cleavage and ligation	orf19.6511;orf19.7081;orf19.5432;orf19.4785;orf19.6931	5
99	GO:0000395 mRNA 5'-splice site recognition	orf19.3178;orf19.672;orf19.6442;orf19.1492;orf19.5492	5
100	GO:0000398 mRNA splicing, via spliceosome	orf19.1548;orf19.4374;orf19.4748;orf19.910;orf19.763;orf19.514;orf19.329;orf19.7375;orf19.1876;orf19.6356;orf19.6458.1;orf19.2400;orf19.3178;orf19.4659;orf19.672;orf19.7139;orf19.5391;orf19.1281;orf19.5885;orf19.2112;orf19.1260;orf19.4146;orf19.674;orf19.1045;orf19.444;orf19.7673;orf19.6740;orf19.2105;orf19.1491;orf19.5828;orf19.7265;orf19.6360;orf19.53;orf19.6831;orf19.6135.1;orf19.7620;orf19.5364;orf19.6866;orf19.387;orf19.2675;orf19.4875;orf19.4062;orf19.144;orf19.3945;orf19.3506;orf19.3774.1;orf19.3947;orf19.2230;orf19.2639.1;orf19.4964;orf19.1771;orf19.7256;orf19.4326;orf19.7509.2;orf19.7581;orf19.1975;orf19.4305.1;orf19.2261;orf19.5413;orf19.4855;orf19.6271;orf19.4205.1;orf19.5647;orf19.3666;orf19.5492;orf19.7238;orf19.3250;orf19.5541;orf19.4799	69
101	GO:0000409 regulation of transcription by galactose	orf19.5338;orf19.4722;orf19.736;orf19.7355;orf19.794;orf19.1451;orf19.3670;orf19.2315	8
102	GO:0000411 positive regulation of transcription by galactose	orf19.5338;orf19.4722;orf19.736;orf19.7355;orf19.794;orf19.1451;orf19.3670;orf19.2315	8
103	GO:0000413 protein peptidyl-prolyl isomerization	orf19.6472;orf19.6452;orf19.6990;orf19.7654;orf19.1552;orf19.2499;orf19.5196;orf19.7421	8
104	GO:0000414 regulation of histone H3-K36 methylation	orf19.2983;orf19.7067;orf19.7136;orf19.3613	4
105	GO:0000416 positive regulation of histone H3-K36 methylation	orf19.2983;orf19.7067;orf19.3613	3
106	GO:0000422 autophagy of mitochondrion	orf19.7445;orf19.3677;orf19.4410;orf19.2646;orf19.2401;orf19.1442;orf19.4839;orf19.3111;orf19.6987;orf19.7627;orf19.3256;orf19.7357;orf19.1210;orf19.1656;orf19.3373;orf19.4170;orf19.6469;orf19.7389;orf19.3112;orf19.5179;orf19.4432;orf19.2848;orf19.6552;orf19.2747;orf19.478;orf19.2033;orf19.4471;orf19.2987;orf19.4235;orf19.5513;orf19.723;orf19.438;orf19.313;orf19.3998;orf19.5148;orf19.6639;orf19.4119;orf19.2445;orf19.7036;orf19.6824;orf19.6781;orf19.5579;orf19.707;orf19.1715;orf19.3746;orf19.764;orf19.4593;orf19.1718;orf19.3986;orf19.7372;orf19.3019;orf19.2808;orf19.3876;orf19.3573;orf19.3212;orf19.4649;orf19.2495;orf19.3699;orf19.2280;orf19.3434;orf19.1667;orf19.2751;orf19.5429;orf19.4263;orf19.2753;orf19.3801;orf19.2101;orf19.4192;orf19.3425;orf19.6167;orf19.3409;orf19.1991;orf19.1567;orf19.6148;orf19.815;orf19.166;orf19.48;orf19.672;orf19.4655;orf19.433;orf19.6197;orf19.2480.1;orf19.6805;orf19.5163;orf19.5032;orf19.4348;orf19.4347;orf19.5903;orf19.6316;orf19.1333;orf19.1297;orf19.1481;orf19.1944;orf19.3455;orf19.2272;orf19.3214;orf19.2945;orf19.7336;orf19.5702;orf19.1364;orf19.5089;orf19.6550;orf19.1043;orf19.6913;orf19.2748;orf19.4849;orf19.5237;orf19.2623;orf19.5974;orf19.3193;orf19.5011;orf19.4763;orf19.4275;orf19.7441;orf19.3149;orf19.4614;orf19.1621;orf19.87;orf19.1547;orf19.4145;orf19.7380;orf19.791;orf19.4535;orf19.474;orf19.1795;orf19.3264;orf19.6601.1;orf19.1990;orf19.215;orf19.7393;orf19.4549;orf19.3841;orf19.1310;orf19.4657;orf19.5033;orf19.4063;orf19.4953;orf19.4767;orf19.7371;orf19.3188;orf19.3705;orf19.4882;orf19.3782;orf19.7164;orf19.4059;orf19.4322;orf19.5924;orf19.5848;orf19.6792;orf19.7098;orf19.1054;orf19.5147;orf19.3506;orf19.6358;orf19.698;orf19.4958;orf19.3282;orf19.3496;orf19.4521;orf19.5097;orf19.3153;orf19.3226;orf19.4590;orf19.3591;orf19.4897;orf19.3638;orf19.4203;orf19.4210;orf19.1345;orf19.6020;orf19.6790;orf19.2771;orf19.6980;orf19.1096;orf19.6778;orf19.2315;orf19.1793;orf19.5956;orf19.2890;orf19.5869;orf19.4979;orf19.6591;orf19.1439;orf19.3009;orf19.3437;orf19.7033;orf19.5387;orf19.7500;orf19.695;orf19.4116;orf19.85;orf19.4134;orf19.4232;orf19.5392;orf19.261;orf19.2565;orf19.1727;orf19.1510;orf19.2722;orf19.4274;orf19.4862;orf19.7400;orf19.7483;orf19.3769;orf19.6680;orf19.6861;orf19.2695;orf19.1814;orf19.6064;orf19.4913;orf19.1751;orf19.3606;orf19.7342;orf19.4262;orf19.2432;orf19.4668;orf19.1289;orf19.6634;orf19.3176;orf19.940;orf19.4323;orf19.3201;orf19.7479;orf19.2982;orf19.5506;orf19.2559;orf19.5843;orf19.6595;orf19.816;orf19.4066;orf19.843;orf19.3030;orf19.3767;orf19.6481;orf19.3241;orf19.10710;orf19.10708	237
107	GO:0000423 mitophagy	orf19.3677;orf19.4839;orf19.2101;orf19.6550;orf19.3767	5
108	GO:0000425 pexophagy	orf19.7196;orf19.745;orf19.3412;orf19.1891;orf19.6634;orf19.3767	6
109	GO:0000429 carbon catabolite regulation of transcription from RNA polymerase II promoter	orf19.5338;orf19.517;orf19.4722;orf19.723;orf19.5148;orf19.2808;orf19.3136;orf19.2423;orf19.2277;orf19.1973;orf19.794;orf19.1451;orf19.1228;orf19.4318;orf19.6296;orf19.6109;orf19.1621;orf19.4145;orf19.7150;orf19.3942;orf19.5657;orf19.2752;orf19.5326;orf19.6102;orf19.203;orf19.5097;orf19.2315;orf19.795;orf19.7136;orf19.5871;orf19.5849;orf19.4488;orf19.7374	33
110	GO:0000430 regulation of transcription from RNA polymerase II promoter by glucose	orf19.5148;orf19.2277;orf19.4318;orf19.6296;orf19.6109;orf19.1621;orf19.7150;orf19.3942;orf19.5326;orf19.203;orf19.795;orf19.7136	12
111	GO:0000431 regulation of transcription from RNA polymerase II promoter by galactose	orf19.5338;orf19.4722;orf19.794;orf19.1451;orf19.2315	5
112	GO:0000432 positive regulation of transcription from RNA polymerase II promoter by glucose	orf19.203	1
113	GO:0000433 carbon catabolite repression of transcription from RNA polymerase II promoter by glucose	orf19.5148;orf19.2277;orf19.4318;orf19.6296;orf19.6109;orf19.1621;orf19.7150;orf19.3942;orf19.5326;orf19.795;orf19.7136	11
114	GO:0000435 positive regulation of transcription from RNA polymerase II promoter by galactose	orf19.5338;orf19.4722;orf19.794;orf19.1451;orf19.2315	5
115	GO:0000436 carbon catabolite activation of transcription from RNA polymerase II promoter	orf19.5338;orf19.517;orf19.4722;orf19.723;orf19.2808;orf19.2423;orf19.1973;orf19.794;orf19.1451;orf19.1228;orf19.4145;orf19.5657;orf19.2752;orf19.6102;orf19.203;orf19.5097;orf19.2315;orf19.5871;orf19.5849;orf19.4488;orf19.7374	21
116	GO:0000437 carbon catabolite repression of transcription from RNA polymerase II promoter	orf19.2423;orf19.6109;orf19.5849	3
117	GO:0000447 endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	orf19.7618;orf19.2330;orf19.3276;orf19.6400;orf19.1915;orf19.7422;orf19.5430;orf19.2326;orf19.7154;orf19.5776;orf19.6649;orf19.7197;orf19.2404;orf19.3756;orf19.329;orf19.6175;orf19.3809;orf19.801;orf19.6365;orf19.7215;orf19.5967;orf19.1642;orf19.6399;orf19.7601;orf19.275;orf19.4173;orf19.2386;orf19.7552;orf19.6652;orf19.4835;orf19.3161;orf19.1589;orf19.7516;orf19.5678;orf19.4479;orf19.3220;orf19.5930;orf19.6444;orf19.3306;orf19.1281;orf19.5802;orf19.2842;orf19.5107;orf19.2830;orf19.1914;orf19.2112;orf19.1966;orf19.4268;orf19.5692;orf19.2717;orf19.2735;orf19.6133;orf19.5677;orf19.2787;orf19.2545;orf19.6722;orf19.2236;orf19.5675;orf19.1886;orf19.2042;orf19.1578;orf19.6014;orf19.5106;orf19.3970;orf19.2723;orf19.1199;orf19.600;orf19.3325.3;orf19.5736;orf19.663;orf19.6975;orf19.7401;orf19.1646;orf19.325;orf19.7489;orf19.5020;orf19.2081;orf19.1609;orf19.6146;orf19.6499;orf19.2090;orf19.3328;orf19.4937;orf19.7018;orf19.4670;orf19.3330;orf19.665;orf19.3831;orf19.3724;orf19.367;orf19.1029;orf19.6442;orf19.1923;orf19.3159;orf19.5959;orf19.4225;orf19.1901;orf19.1902;orf19.7254;orf19.7293;orf19.661;orf19.5507;orf19.7648	103
118	GO:0000448 cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	orf19.5776;orf19.6230;orf19.4681;orf19.721;orf19.4120;orf19.4490;orf19.667.1	7
119	GO:0000455 enzyme-directed rRNA pseudouridine synthesis	orf19.1753;orf19.3114	2
120	GO:0000459 exonucleolytic trimming involved in rRNA processing	orf19.4078;orf19.81;orf19.4582;orf19.1304;orf19.5493;orf19.58;orf19.5039;orf19.6259;orf19.5229;orf19.5067;orf19.5232;orf19.1466;orf19.3304;orf19.168;orf19.6195;orf19.3867;orf19.1026;orf19.1335;orf19.4948	19
121	GO:0000460 maturation of 5.8S rRNA	orf19.5500;orf19.563;orf19.6230;orf19.3553;orf19.4962;orf19.5991;orf19.1815;orf19.1791;orf19.2667;orf19.124;orf19.3704;orf19.1687;orf19.4120;orf19.7397.1;orf19.7424;orf19.2778;orf19.3540;orf19.76	18
122	GO:0000461 endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	orf19.6417;orf19.3325.3;orf19.6975	3
123	GO:0000462 maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	orf19.4160;orf19.7624;orf19.2330;orf19.5143;orf19.7545;orf19.414;orf19.3276;orf19.1261;orf19.6828;orf19.3956;orf19.5166;orf19.1528;orf19.2045;orf19.773;orf19.2994.1;orf19.3609;orf19.3333;orf19.6710;orf19.5430;orf19.1249;orf19.5280;orf19.2715;orf19.5627;orf19.2040;orf19.3962;orf19.7546;orf19.6872;orf19.6907;orf19.6955;orf19.4519;orf19.6610;orf19.5500;orf19.1575;orf19.3761;orf19.4078;orf19.6696;orf19.5567;orf19.563;orf19.6686;orf19.6233;orf19.96;orf19.3536;orf19.6022;orf19.763;orf19.172;orf19.150;orf19.4634;orf19.1900;orf19.7383;orf19.475;orf19.2362;orf19.4191;orf19.6175;orf19.2511.1;orf19.7427;orf19.1849;orf19.4896;orf19.1876;orf19.5486.1;orf19.6458.1;orf19.7215;orf19.3393;orf19.1642;orf19.5466;orf19.4340.1;orf19.1388;orf19.6399;orf19.6284;orf19.2676;orf19.7063;orf19.1304;orf19.4192;orf19.2575;orf19.2547;orf19.4835;orf19.4660;orf19.984;orf19.2736;orf19.603;orf19.7516;orf19.7107;orf19.1250;orf19.6776;orf19.2191;orf19.5487;orf19.6903;orf19.1303;orf19.2687.1;orf19.5885;orf19.2237.1;orf19.7613;orf19.4492;orf19.6417;orf19.7190;orf19.5985;orf19.1966;orf19.3676;orf19.4401;orf19.7402;orf19.1260;orf19.1633;orf19.3535;orf19.1428;orf19.5418;orf19.2185;orf19.4268;orf19.5811;orf19.2717;orf19.6041;orf19.6738;orf19.2998;orf19.4161;orf19.706;orf19.4628;orf19.444;orf19.2794;orf19.6375;orf19.3478;orf19.2017;orf19.1815;orf19.6873;orf19.1934;orf19.4611;orf19.5566;orf19.7160;orf19.2320;orf19.4193.1;orf19.3581;orf19.5071;orf19.5207;orf19.7564;orf19.4149.1;orf19.2667;orf19.124;orf19.7011;orf19.4499;orf19.5106;orf19.2488;orf19.5608;orf19.5364;orf19.3970;orf19.2564;orf19.6866;orf19.2087;orf19.308;orf19.4399;orf19.6653;orf19.7488;orf19.1865;orf19.6526;orf19.5081;orf19.182;orf19.1199;orf19.4096;orf19.5839;orf19.7354;orf19.7392;orf19.2201;orf19.107;orf19.2347;orf19.2934;orf19.6886;orf19.7599;orf19.3304;orf19.168;orf19.6532;orf19.1954;orf19.947;orf19.1687;orf19.2385;orf19.4120;orf19.3539;orf19.7489.3;orf19.3002;orf19.7202;orf19.6455;orf19.7657;orf19.2611;orf19.4354;orf19.6369;orf19.6507;orf19.6879;orf19.3287;orf19.1609;orf19.2499;orf19.154;orf19.1447;orf19.5235;orf19.4739;orf19.2090;orf19.1280;orf19.6052;orf19.331;orf19.5407;orf19.494;orf19.5010;orf19.6766;orf19.3088;orf19.7394;orf19.6265.1;orf19.304;orf19.5299;orf19.7050;orf19.7650;orf19.7088;orf19.587;orf19.2102;orf19.2859;orf19.2193;orf19.6074;orf19.1458;orf19.2305;orf19.943;orf19.7424;orf19.838.1;orf19.6253;orf19.3724;orf19.423;orf19.2688;orf19.7495;orf19.3964;orf19.413.1;orf19.3978;orf19.1273;orf19.837;orf19.4143;orf19.544;orf19.6137;orf19.5959;orf19.4705;orf19.443;orf19.1902;orf19.2712;orf19.2673;orf19.5629;orf19.3582;orf19.1403;orf19.2167;orf19.6286.2;orf19.5977;orf19.4093;orf19.5436;orf19.661;orf19.4092;orf19.5507;orf19.4605;orf19.7102;orf19.3470;orf19.6916;orf19.558	250
124	GO:0000463 maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	orf19.2314;orf19.4443;orf19.1755;orf19.6347;orf19.4697;orf19.7370;orf19.6346;orf19.5704;orf19.3956;orf19.2847;orf19.2788;orf19.200;orf19.3698;orf19.1528;orf19.2563;orf19.2045;orf19.4168;orf19.4801;orf19.773;orf19.6989;orf19.3609;orf19.2740;orf19.3817;orf19.829;orf19.2485;orf19.28;orf19.5280;orf19.6511;orf19.3962;orf19.7546;orf19.4374;orf19.6872;orf19.4451;orf19.6035;orf19.4297;orf19.3431;orf19.4398;orf19.1032;orf19.4519;orf19.5500;orf19.3795;orf19.5277;orf19.3365;orf19.4078;orf19.1735;orf19.1082;orf19.6696;orf19.6649;orf19.563;orf19.4099;orf19.3829;orf19.7197;orf19.5856;orf19.7047;orf19.3536;orf19.59;orf19.6693;orf19.910;orf19.6625;orf19.6827;orf19.454;orf19.2404;orf19.763;orf19.6230;orf19.2972;orf19.4002;orf19.7036;orf19.2558;orf19.5486;orf19.3222;orf19.6732;orf19.2708;orf19.6569;orf19.2975;orf19.2604;orf19.6795;orf19.2837;orf19.3756;orf19.3608;orf19.172;orf19.2760;orf19.6976;orf19.7307;orf19.7041;orf19.1495;orf19.475;orf19.2511.1;orf19.1163;orf19.6007;orf19.6992;orf19.6013;orf19.81;orf19.920;orf19.5486.1;orf19.4681;orf19.6458.1;orf19.3393;orf19.184;orf19.3178;orf19.4340.1;orf19.6284;orf19.7601;orf19.275;orf19.4769;orf19.4265;orf19.2386;orf19.3553;orf19.1624;orf19.5824;orf19.2538;orf19.3626;orf19.2541;orf19.2547;orf19.4464;orf19.3098;orf19.1362;orf19.5358;orf19.6222;orf19.3272;orf19.1622;orf19.2368;orf19.2736;orf19.1589;orf19.3227;orf19.4659;orf19.3552;orf19.5168;orf19.5217;orf19.3220;orf19.721;orf19.6068;orf19.2478.1;orf19.927;orf19.4278;orf19.6691;orf19.7366;orf19.5931;orf19.5065;orf19.5391;orf19.1303;orf19.6917;orf19.3306;orf19.1281;orf19.5845;orf19.2842;orf19.2237.1;orf19.6463;orf19.1531;orf19.3463;orf19.7190;orf19.3530;orf19.1091;orf19.1298;orf19.5985;orf19.875;orf19.4962;orf19.4125;orf19.1260;orf19.6259;orf19.6982;orf19.5229;orf19.1228;orf19.4000;orf19.2917;orf19.5198;orf19.3413;orf19.1360;orf19.3894;orf19.3170;orf19.4724;orf19.6587;orf19.3114;orf19.1028;orf19.2735;orf19.3200;orf19.1045;orf19.1007;orf19.1499;orf19.5677;orf19.2787;orf19.718;orf19.444;orf19.7194;orf19.2794;orf19.6298;orf19.4377;orf19.4863;orf19.1119;orf19.3478;orf19.2436;orf19.866;orf19.3624;orf19.2727;orf19.1971;orf19.5865;orf19.5067;orf19.2545;orf19.5991;orf19.5425;orf19.1815;orf19.4542;orf19.7349;orf19.183;orf19.2105;orf19.5200;orf19.1491;orf19.332;orf19.5884;orf19.541;orf19.5759;orf19.4516;orf19.4983;orf19.2901;orf19.6589;orf19.1791;orf19.2667;orf19.2820;orf19.6360;orf19.124;orf19.3370;orf19.4028;orf19.2042;orf19.6831;orf19.7198;orf19.4266;orf19.1647;orf19.3175;orf19.7367;orf19.6843;orf19.641;orf19.1663;orf19.6152;orf19.5040;orf19.939;orf19.5608;orf19.3317;orf19.6779;orf19.123;orf19.2821;orf19.1217;orf19.4721;orf19.4496;orf19.3796;orf19.4252;orf19.387;orf19.3103;orf19.501;orf19.5847;orf19.7072;orf19.2675;orf19.2723;orf19.17;orf19.1927;orf19.2622;orf19.6585;orf19.2893;orf19.151;orf19.3704;orf19.4324;orf19.3457;orf19.5050;orf19.2492;orf19.5767;orf19.1429;orf19.6845;orf19.2934;orf19.597;orf19.6886;orf19.5736;orf19.5964.2;orf19.1832;orf19.4062;orf19.5220;orf19.144;orf19.3759;orf19.3945;orf19.3630;orf19.3785;orf19.4080;orf19.6236;orf19.4599;orf19.3686;orf19.259;orf19.1687;orf19.2230;orf19.4964;orf19.1773;orf19.1771;orf19.7051;orf19.1536;orf19.7202;orf19.4326;orf19.6455;orf19.4164;orf19.5243;orf19.6893;orf19.2973;orf19.3990;orf19.2654;orf19.6685;orf19.250;orf19.5356;orf19.3169;orf19.2002;orf19.2660;orf19.2818;orf19.4805;orf19.6736;orf19.4621;orf19.4188;orf19.640;orf19.5406;orf19.7361;orf19.579;orf19.2487;orf19.6195;orf19.2044;orf19.2499;orf19.7159;orf19.154;orf19.6283;orf19.3867;orf19.5235;orf19.7662;orf19.6286;orf19.3695;orf19.6499;orf19.5628;orf19.5038;orf19.2399;orf19.1280;orf19.4626;orf19.1139;orf19.5597;orf19.2938;orf19.5510;orf19.2303;orf19.3252;orf19.4133;orf19.4937;orf19.4118;orf19.51;orf19.3125;orf19.1762;orf19.4426;orf19.3777;orf19.1720;orf19.581;orf19.5864;orf19.7050;orf19.3613;orf19.2507;orf19.1975;orf19.3330;orf19.1026;orf19.2305;orf19.943;orf19.4001;orf19.7424;orf19.2215;orf19.4531;orf19.1029;orf19.6442;orf19.29;orf19.1794;orf19.1335;orf19.2829;orf19.7511;orf19.1613;orf19.3978;orf19.276;orf19.2891;orf19.2778;orf19.6340;orf19.3130;orf19.3305;orf19.1721;orf19.155;orf19.5276;orf19.5035;orf19.6780;orf19.544;orf19.7548;orf19.5959;orf19.5413;orf19.809;orf19.2980;orf19.6902;orf19.6577;orf19.6155;orf19.5046;orf19.6271;orf19.119;orf19.5629;orf19.7362;orf19.4892;orf19.3449;orf19.3666;orf19.1306;orf19.7501;orf19.5170;orf19.5977;orf19.4093;orf19.73;orf19.3540;orf19.3687;orf19.5206;orf19.5507;orf19.4605;orf19.76;orf19.120;orf19.4808;orf19.2631;orf19.3250;orf19.3874;orf19.4620;orf19.6624;orf19.4799;orf19.3773;orf19.6916;orf19.3468;orf19.558;orf19.10713	423
125	GO:0000464 endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	orf19.4870;orf19.5232;orf19.1578	3
126	GO:0000465 exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	orf19.5232;orf19.3867	2
127	GO:0000466 maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	orf19.5500;orf19.563;orf19.6230;orf19.3553;orf19.4962;orf19.5991;orf19.1815;orf19.1791;orf19.2667;orf19.124;orf19.3704;orf19.1687;orf19.7424;orf19.2778;orf19.3540;orf19.76	16
128	GO:0000467 exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	orf19.4078;orf19.81;orf19.4582;orf19.1304;orf19.5493;orf19.58;orf19.5039;orf19.6259;orf19.5229;orf19.5067;orf19.1466;orf19.3304;orf19.168;orf19.6195;orf19.1026;orf19.1335;orf19.4948	17
